date,fund_family,method,method_type,gross_return,turnover,transaction_cost,net_return,live_rebalance_date,decision_date,estimation_start,estimation_end,asset_count,missing_return_asset_count,growth_gross,growth_net,drawdown_gross,drawdown_net
2022-12-29,Crypto-only,Equal Weight,benchmark,-0.0006051108231715063,0.0,0.0,-0.0006051108231715063,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2588763941184313,1.2576316199369266,-0.813642211140466,-0.8136422111404661
2022-12-30,Crypto-only,Equal Weight,benchmark,0.00041194725546174244,0.0,0.0,0.00041194725546174244,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.259394984793954,1.2581496978311415,-0.8135654415608115,-0.8135654415608115
2022-12-31,Crypto-only,Equal Weight,benchmark,0.0012423581931927936,0.0,0.0,0.0012423581931927936,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2609596044717788,1.2597127704165052,-0.8133338230596402,-0.8133338230596403
2023-01-01,Crypto-only,Equal Weight,benchmark,0.007755602914296445,0.0,0.0,0.007755602914296445,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.2707391064550302,1.269482602449924,-0.811886114313761,-0.811886114313761
2023-01-02,Crypto-only,Equal Weight,benchmark,0.019004349613625026,0.0,0.0,0.019004349613625026,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.294888676701807,1.2936082936552968,-0.8083111322630022,-0.8083111322630022
2023-01-03,Crypto-only,Equal Weight,benchmark,-0.0027050635667062563,0.0,0.0,-0.0027050635667062563,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.2913859205195204,1.2901090009905407,-0.8088296628352607,-0.8088296628352608
2023-01-04,Crypto-only,Equal Weight,benchmark,0.037039870961805214,0.0,0.0,0.037039870961805214,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.3392186883774555,1.3378944719138937,-0.801748738214954,-0.8017487382149541
2023-01-05,Crypto-only,Equal Weight,benchmark,-0.014915270707060857,0.0,0.0,-0.014915270707060857,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.3192438791043508,1.3179394136878178,-0.8047057094524943,-0.8047057094524944
2023-01-06,Crypto-only,Equal Weight,benchmark,0.02399224989900126,0.0,0.0,0.02399224989900126,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.3508955079295502,1.349559745452759,-0.8000201600298305,-0.8000201600298305
2023-01-07,Crypto-only,Equal Weight,benchmark,-0.0033150493784421474,0.0,0.0,-0.0033150493784421474,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.346417222615648,1.3450858882574253,-0.8006831030740246,-0.8006831030740246
2023-01-08,Crypto-only,Equal Weight,benchmark,0.022152942418084014,0.0,0.0,0.022152942418084014,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.376244325818969,1.3748834984873692,-0.7962676473334722,-0.7962676473334722
2023-01-09,Crypto-only,Equal Weight,benchmark,0.0273397797884958,0.0,0.0,0.0273397797884958,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.4138705426220264,1.4124725105708507,-0.7906976496757772,-0.7906976496757773
2023-01-10,Crypto-only,Equal Weight,benchmark,0.006023627086972295,0.0,0.0,0.006023627086972295,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.4223871715200365,1.4209807182451288,-0.7894368903689972,-0.7894368903689973
2023-01-11,Crypto-only,Equal Weight,benchmark,0.0293627235624937,0.0,0.0,0.0293627235624937,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.4641523328362167,1.4627045822625944,-0.783254183988443,-0.783254183988443
2023-01-12,Crypto-only,Equal Weight,benchmark,0.025749110740923696,0.0,0.0,0.025749110740923696,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.5018529533959983,1.5003679245325305,-0.7776731719693296,-0.7776731719693296
2023-01-13,Crypto-only,Equal Weight,benchmark,0.03391595944645199,0.0,0.0,0.03391595944645199,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.5527897372579111,1.5512543422157332,-0.7701327442859831,-0.7701327442859831
2023-01-14,Crypto-only,Equal Weight,benchmark,0.03433883214203748,0.0,0.0,0.03433883214203748,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.606110723397489,1.6045226046826861,-0.7622393711770686,-0.7622393711770686
2023-01-15,Crypto-only,Equal Weight,benchmark,-0.0026764894860901167,0.0,0.0,-0.0026764894860901167,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.601811984932819,1.600228116801059,-0.7628757350003195,-0.7628757350003195
2023-01-16,Crypto-only,Equal Weight,benchmark,-0.004590647914346924,0.0,0.0,-0.004590647914346924,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.5944586300850112,1.5928820329341868,-0.7639642890128813,-0.7639642890128813
2023-01-17,Crypto-only,Equal Weight,benchmark,-0.004905501990651051,0.0,0.0,-0.004905501990651051,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.5866370101011185,1.585068146950756,-0.7651221626629933,-0.7651221626629934
2023-01-18,Crypto-only,Equal Weight,benchmark,-0.04283574448150235,0.0,0.0,-0.04283574448150235,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.518672232551532,1.517170572822205,-0.7751833296875292,-0.7751833296875292
2023-01-19,Crypto-only,Equal Weight,benchmark,0.02374091325805703,0.0,0.0,0.02374091325805703,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.5547268982919578,1.5531895877892536,-0.7698459766186756,-0.7698459766186756
2023-01-20,Crypto-only,Equal Weight,benchmark,0.06451981663484795,0.0,0.0,0.06451981663484795,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6550375926870209,1.6534010951925713,-0.75499648123234,-0.7549964812323401
2023-01-21,Crypto-only,Equal Weight,benchmark,-0.009632871913905805,0.0,0.0,-0.009632871913905805,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6390948275439678,1.6374740942202697,-0.7573565687470851,-0.7573565687470851
2023-01-22,Crypto-only,Equal Weight,benchmark,0.00994362955139263,0.0,0.0,0.00994362955139263,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6553933793086688,1.6537565300131982,-0.7549438123536273,-0.7549438123536274
2023-01-23,Crypto-only,Equal Weight,benchmark,0.020945304673450772,0.0,0.0,0.020945304673450772,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.690066097992702,1.6883949643900333,-0.7498110358412597,-0.7498110358412597
2023-01-24,Crypto-only,Equal Weight,benchmark,-0.041702126622754424,0.0,0.0,-0.041702126622754424,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6195867475733858,1.6179853037958192,-0.7602444477042233,-0.7602444477042234
2023-01-25,Crypto-only,Equal Weight,benchmark,0.03070596164236805,0.0,0.0,0.03070596164236805,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.669317716120862,1.667667098472089,-0.7528825229118844,-0.7528825229118844
2023-01-26,Crypto-only,Equal Weight,benchmark,-0.0017370736202734992,0.0,0.0,-0.0017370736202734992,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6664179883523333,1.664770237947935,-0.7533117841624427,-0.7533117841624427
2023-01-27,Crypto-only,Equal Weight,benchmark,0.01066397815581024,0.0,0.0,0.01066397815581024,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6841886333785718,1.6825233113998548,-0.7506811064174552,-0.7506811064174552
2023-01-28,Crypto-only,Equal Weight,benchmark,-0.008871756409081721,0.0,0.0,-0.008871756409081721,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.669246922076293,1.6675963744285138,-0.7528930029095012,-0.7528930029095013
2023-01-29,Crypto-only,Equal Weight,benchmark,0.03185076197963703,0.0,0.0,0.03185076197963703,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.722413708476587,1.7207105896285422,-0.7450224567616689,-0.745022456761669
2023-01-30,Crypto-only,Equal Weight,benchmark,-0.04704284596112843,0.0,0.0,-0.04704284596112843,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6413864657073869,1.6397634664169642,-0.7570173260517767,-0.7570173260517767
2023-01-31,Crypto-only,Equal Weight,benchmark,0.01970616656237656,0.0,0.0,0.01970616656237656,2023-01-01,2022-12-31,2022-01-01,2022-12-31,10,0,1.6737319007938471,1.672076918409077,-0.7522290690071813,-0.7522290690071815
2023-02-01,Crypto-only,Equal Weight,benchmark,0.025797610005811867,0.0,0.0,0.025797610005811867,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.716910183624813,1.715212506649914,-0.7458371711586518,-0.7458371711586518
2023-02-02,Crypto-only,Equal Weight,benchmark,-0.004085517910096637,0.0,0.0,-0.004085517910096637,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7098957163195867,1.708204975234374,-0.7468755579479638,-0.7468755579479639
2023-02-03,Crypto-only,Equal Weight,benchmark,0.013795338410564274,0.0,0.0,0.013795338410564274,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7334843063729894,1.7317702409423417,-0.7433836206098707,-0.7433836206098708
2023-02-04,Crypto-only,Equal Weight,benchmark,0.00082170749667404,0.0,0.0,0.00082170749667404,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.734908723422903,1.7331932495318412,-0.7431727570071565,-0.7431727570071566
2023-02-05,Crypto-only,Equal Weight,benchmark,-0.021485676165057387,0.0,0.0,-0.021485676165057387,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6976330364155054,1.6959544206409365,-0.7486908639804652,-0.7486908639804652
2023-02-06,Crypto-only,Equal Weight,benchmark,-0.017506770629490034,0.0,0.0,-0.017506770629490034,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6679129642339345,1.666263735600706,-0.7530904753818546,-0.7530904753818546
2023-02-07,Crypto-only,Equal Weight,benchmark,0.03869117832630642,0.0,0.0,0.03869117832630642,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.732446482165868,1.7307334429334904,-0.7435372549343904,-0.7435372549343904
2023-02-08,Crypto-only,Equal Weight,benchmark,-0.015035624875278054,0.0,0.0,-0.015035624875278054,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7063980667435268,1.704710784126444,-0.747393332563681,-0.747393332563681
2023-02-09,Crypto-only,Equal Weight,benchmark,-0.057711348654223275,0.0,0.0,-0.057711348654223275,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6079195329707987,1.6063296257091084,-0.7619716040204798,-0.7619716040204798
2023-02-10,Crypto-only,Equal Weight,benchmark,-0.0009264932442613174,0.0,0.0,-0.0009264932442613174,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6064298063861855,1.604841372162832,-0.7621921357212971,-0.7621921357212972
2023-02-11,Crypto-only,Equal Weight,benchmark,0.011119083825479523,0.0,0.0,0.011119083825479523,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6242918340631423,1.6226857379065083,-0.759547930144024,-0.759547930144024
2023-02-12,Crypto-only,Equal Weight,benchmark,-0.014240155531741518,0.0,0.0,-0.014240155531741518,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6011616657171455,1.5995784406195808,-0.7629720050167023,-0.7629720050167024
2023-02-13,Crypto-only,Equal Weight,benchmark,-0.0031842224978953053,0.0,0.0,-0.0031842224978953053,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.5960632107184014,1.5944850269618116,-0.7637267548909591,-0.7637267548909592
2023-02-14,Crypto-only,Equal Weight,benchmark,0.029872183904632733,0.0,0.0,0.029872183904632733,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.6437411044724002,1.6421157769203982,-0.7566687570613174,-0.7566687570613175
2023-02-15,Crypto-only,Equal Weight,benchmark,0.06536374685986238,0.0,0.0,0.06536374685986238,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.751182181928285,1.7494506168776096,-0.7407637152947777,-0.7407637152947777
2023-02-16,Crypto-only,Equal Weight,benchmark,-0.0437863949888458,0.0,0.0,-0.0437863949888458,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.674504227212944,1.6728484811535265,-0.7521147376523215,-0.7521147376523215
2023-02-17,Crypto-only,Equal Weight,benchmark,0.048827886165622655,0.0,0.0,0.048827886165622655,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7562667290031515,1.7545301363636256,-0.7400110242802735,-0.7400110242802735
2023-02-18,Crypto-only,Equal Weight,benchmark,0.007887810379065564,0.0,0.0,0.007887810379065564,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7701198279365902,1.7683695373836181,-0.7379602805391489,-0.7379602805391489
2023-02-19,Crypto-only,Equal Weight,benchmark,-0.01070811501788358,0.0,0.0,-0.01070811501788358,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7511651812236089,1.7494336329831928,-0.7407662319943895,-0.7407662319943896
2023-02-20,Crypto-only,Equal Weight,benchmark,0.025052763815127693,0.0,0.0,0.025052763815127693,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7950367089100792,1.7932617806005615,-0.7342717096316393,-0.7342717096316395
2023-02-21,Crypto-only,Equal Weight,benchmark,-0.01918195592707385,0.0,0.0,-0.01918195592707385,2023-02-01,2023-01-31,2022-02-01,2023-01-31,10,0,1.7606043938722864,1.7588635121593756,-0.739368897986062,-0.739368897986062
