date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2020-01-16,Energy,0.17142380952380953,13,3.0,OXY,0.18496153846153846,0.013537728937728921,0.013537728937728921,False,,,
2020-01-17,Energy,0.14109055555555555,31,4.0,SLB,0.1066741935483871,-0.03441636200716845,0.03441636200716845,False,,,
2020-01-21,Energy,0.13746714285714287,28,4.0,SLB,0.12414285714285714,-0.013324285714285733,0.013324285714285733,False,,,
2020-01-22,Energy,0.11271666666666667,11,4.0,SLB,0.13637272727272728,0.02365606060606061,0.02365606060606061,False,,,
2020-01-23,Energy,0.06157333333333333,17,5.0,OXY,0.10269999999999999,0.04112666666666666,0.04112666666666666,False,,,
2020-01-24,Energy,0.18136166666666667,14,5.0,XOM,0.23945,0.058088333333333325,0.058088333333333325,False,,,
2020-01-27,Energy,0.04191166666666666,22,5.0,XOM,0.021572727272727275,-0.020338939393939385,0.020338939393939385,False,,,
2020-01-28,Energy,0.24658333333333335,6,2.0,SLB,0.2465833333333333,-5.551115123125783e-17,5.551115123125783e-17,False,,,
2020-01-29,Energy,0.013120833333333335,13,4.0,XOM,0.02796923076923077,0.014848397435897435,0.014848397435897435,False,,,
2020-01-30,Energy,0.1346214285714286,15,4.0,XOM,0.14025333333333334,0.005631904761904755,0.005631904761904755,False,,,
2020-01-31,Energy,0.07983380952380953,31,5.0,XOM,0.08332903225806453,0.0034952227342549963,0.0034952227342549963,False,,,
2020-02-03,Energy,0.05148243589743588,25,5.0,XOM,-0.0028800000000000023,-0.05436243589743588,0.05436243589743588,True,,,
2020-02-04,Energy,0.1017411111111111,20,5.0,COP,0.05334,-0.0484011111111111,0.0484011111111111,False,,,
2020-02-05,Energy,0.504522857142857,18,5.0,XOM,0.4189444444444444,-0.08557841269841265,0.08557841269841265,False,,,
2020-02-06,Energy,0.23407083333333334,11,4.0,XOM,0.1949,-0.03917083333333335,0.03917083333333335,False,,,
2020-02-07,Energy,0.22275299999999998,14,5.0,SLB,0.21182857142857145,-0.01092442857142853,0.01092442857142853,False,,,
2020-02-10,Energy,0.05099333333333335,11,5.0,OXY,0.011418181818181827,-0.03957515151515152,0.03957515151515152,False,,,
2020-02-11,Energy,0.09527314285714285,21,5.0,XOM,0.09065714285714285,-0.004615999999999995,0.004615999999999995,False,,,
