date,fund_family,method,method_type,asset_class,exposure
2021-01-04,Combined,Minimum Variance,optimisation,equity,1.0
2021-02-01,Combined,Minimum Variance,optimisation,crypto,3.1837911527992883e-18
2021-02-01,Combined,Minimum Variance,optimisation,equity,1.0
2021-03-01,Combined,Minimum Variance,optimisation,crypto,3.707771528989471e-18
2021-03-01,Combined,Minimum Variance,optimisation,equity,1.0000000000000002
2021-04-01,Combined,Minimum Variance,optimisation,crypto,0.014816416382213133
2021-04-01,Combined,Minimum Variance,optimisation,equity,0.9851835836177869
2021-05-03,Combined,Minimum Variance,optimisation,crypto,0.015386969007004403
2021-05-03,Combined,Minimum Variance,optimisation,equity,0.9846130309929956
2021-06-01,Combined,Minimum Variance,optimisation,crypto,0.004194284650630919
2021-06-01,Combined,Minimum Variance,optimisation,equity,0.995805715349369
2021-07-01,Combined,Minimum Variance,optimisation,crypto,0.007395040002174146
2021-07-01,Combined,Minimum Variance,optimisation,equity,0.9926049599978258
2021-08-02,Combined,Minimum Variance,optimisation,crypto,0.00703319813634647
2021-08-02,Combined,Minimum Variance,optimisation,equity,0.9929668018636536
2021-09-01,Combined,Minimum Variance,optimisation,crypto,0.007423317355207118
2021-09-01,Combined,Minimum Variance,optimisation,equity,0.9925766826447928
2021-10-01,Combined,Minimum Variance,optimisation,crypto,2.312626413252022e-18
2021-10-01,Combined,Minimum Variance,optimisation,equity,1.0
2021-11-01,Combined,Minimum Variance,optimisation,crypto,3.3529645650449245e-18
2021-11-01,Combined,Minimum Variance,optimisation,equity,1.0
2021-12-01,Combined,Minimum Variance,optimisation,crypto,2.699968154389102e-18
2021-12-01,Combined,Minimum Variance,optimisation,equity,1.0
2022-01-03,Combined,Minimum Variance,optimisation,crypto,2.0212366574841674e-18
2022-01-03,Combined,Minimum Variance,optimisation,equity,1.0
2022-02-01,Combined,Minimum Variance,optimisation,crypto,2.3217916088664605e-18
2022-02-01,Combined,Minimum Variance,optimisation,equity,0.9999999999999999
2022-03-01,Combined,Minimum Variance,optimisation,crypto,2.2821226993874395e-05
2022-03-01,Combined,Minimum Variance,optimisation,equity,0.9999771787730062
2022-04-01,Combined,Minimum Variance,optimisation,crypto,0.000856255351881248
2022-04-01,Combined,Minimum Variance,optimisation,equity,0.9991437446481188
2022-05-02,Combined,Minimum Variance,optimisation,crypto,4.247082486078063e-18
2022-05-02,Combined,Minimum Variance,optimisation,equity,1.0
2022-06-01,Combined,Minimum Variance,optimisation,crypto,0.010398235547431679
2022-06-01,Combined,Minimum Variance,optimisation,equity,0.9896017644525682
2022-07-01,Combined,Minimum Variance,optimisation,crypto,2.9253591248318057e-19
2022-07-01,Combined,Minimum Variance,optimisation,equity,1.0
2022-08-01,Combined,Minimum Variance,optimisation,crypto,1.5968764377362128e-18
2022-08-01,Combined,Minimum Variance,optimisation,equity,0.9999999999999999
2022-09-01,Combined,Minimum Variance,optimisation,crypto,2.8297545323009432e-18
2022-09-01,Combined,Minimum Variance,optimisation,equity,1.0000000000000002
2022-10-03,Combined,Minimum Variance,optimisation,crypto,1.076877792052449e-18
2022-10-03,Combined,Minimum Variance,optimisation,equity,1.0
2022-11-01,Combined,Minimum Variance,optimisation,crypto,0.005639159695761474
2022-11-01,Combined,Minimum Variance,optimisation,equity,0.9943608403042384
2022-12-01,Combined,Minimum Variance,optimisation,crypto,4.1066111228289383e-19
2022-12-01,Combined,Minimum Variance,optimisation,equity,1.0
2023-01-03,Combined,Minimum Variance,optimisation,crypto,0.0025869045671455485
2023-01-03,Combined,Minimum Variance,optimisation,equity,0.9974130954328545
2023-02-01,Combined,Minimum Variance,optimisation,crypto,0.004858194394933511
2023-02-01,Combined,Minimum Variance,optimisation,equity,0.9951418056050665
2023-03-01,Combined,Minimum Variance,optimisation,crypto,1.8791612908947015e-18
2023-03-01,Combined,Minimum Variance,optimisation,equity,1.0
2023-04-03,Combined,Minimum Variance,optimisation,crypto,1.1448194638996617e-18
2023-04-03,Combined,Minimum Variance,optimisation,equity,0.9999999999999998
2023-05-01,Combined,Minimum Variance,optimisation,crypto,1.90976350528375e-18
2023-05-01,Combined,Minimum Variance,optimisation,equity,1.0000000000000002
2023-06-01,Combined,Minimum Variance,optimisation,crypto,3.825357761186058e-18
2023-06-01,Combined,Minimum Variance,optimisation,equity,1.0
2023-07-03,Combined,Minimum Variance,optimisation,crypto,0.025152138494099266
2023-07-03,Combined,Minimum Variance,optimisation,equity,0.9748478615059007
2023-08-01,Combined,Minimum Variance,optimisation,crypto,0.02390722486051827
2023-08-01,Combined,Minimum Variance,optimisation,equity,0.9760927751394818
2023-09-01,Combined,Minimum Variance,optimisation,crypto,0.021902934623052595
2023-09-01,Combined,Minimum Variance,optimisation,equity,0.9780970653769474
2023-10-02,Combined,Minimum Variance,optimisation,crypto,0.025877750095416284
2023-10-02,Combined,Minimum Variance,optimisation,equity,0.9741222499045837
2023-11-01,Combined,Minimum Variance,optimisation,crypto,0.004757389757776836
2023-11-01,Combined,Minimum Variance,optimisation,equity,0.9952426102422234
2023-12-01,Combined,Minimum Variance,optimisation,crypto,0.02461111343477915
2023-12-01,Combined,Minimum Variance,optimisation,equity,0.9753888865652209
2021-01-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-02-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-03-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-04-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-05-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-06-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-07-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-08-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-09-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-10-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-11-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-12-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-01-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-02-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-03-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-04-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-05-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-06-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-07-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-08-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-09-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-10-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-11-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2022-12-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-01-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-02-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-03-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-04-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-05-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-06-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-07-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-08-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-09-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-10-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-11-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2023-12-01,Crypto-only,Equal Weight,benchmark,crypto,1.0
2021-01-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-02-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-03-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2021-04-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-05-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2021-06-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-07-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-08-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-09-01,Crypto-only,Maximum Sharpe,optimisation,crypto,0.9999999999999999
2021-10-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-11-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2021-12-01,Crypto-only,Maximum Sharpe,optimisation,crypto,0.9999999999999999
2022-01-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2022-02-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2022-03-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2022-04-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2022-05-01,Crypto-only,Maximum Sharpe,optimisation,crypto,0.9999999999999998
2022-06-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2022-07-01,Crypto-only,Maximum Sharpe,optimisation,crypto,0.9999999999999999
2022-08-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2022-09-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2022-10-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2022-11-01,Crypto-only,Maximum Sharpe,optimisation,crypto,0.9999999999999999
2022-12-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2023-01-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-02-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2023-03-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-04-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-05-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2023-06-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-07-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-08-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-09-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-10-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2023-11-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0
2023-12-01,Crypto-only,Maximum Sharpe,optimisation,crypto,1.0000000000000002
2021-01-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2021-02-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-03-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-04-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-05-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-06-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2021-07-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2021-08-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-09-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2021-10-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2021-11-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2021-12-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-01-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-02-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2022-03-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2022-04-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2022-05-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-06-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2022-07-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2022-08-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-09-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-10-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2022-11-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2022-12-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-01-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-02-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-03-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2023-04-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-05-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2023-06-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2023-07-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-08-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2023-09-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0000000000000002
2023-10-01,Crypto-only,Minimum Variance,optimisation,crypto,1.0
2023-11-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2023-12-01,Crypto-only,Minimum Variance,optimisation,crypto,0.9999999999999999
2021-01-04,Equity-only,Equal Weight,benchmark,equity,1.0
2021-02-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-03-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-04-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-05-03,Equity-only,Equal Weight,benchmark,equity,1.0
2021-06-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-07-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-08-02,Equity-only,Equal Weight,benchmark,equity,1.0
2021-09-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-10-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-11-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-12-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-01-03,Equity-only,Equal Weight,benchmark,equity,1.0
2022-02-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-03-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-04-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-05-02,Equity-only,Equal Weight,benchmark,equity,1.0
2022-06-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-07-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-08-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-09-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-10-03,Equity-only,Equal Weight,benchmark,equity,1.0
2022-11-01,Equity-only,Equal Weight,benchmark,equity,1.0
2022-12-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-01-03,Equity-only,Equal Weight,benchmark,equity,1.0
2023-02-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-03-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-04-03,Equity-only,Equal Weight,benchmark,equity,1.0
2023-05-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-06-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-07-03,Equity-only,Equal Weight,benchmark,equity,1.0
2023-08-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-09-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-10-02,Equity-only,Equal Weight,benchmark,equity,1.0
2023-11-01,Equity-only,Equal Weight,benchmark,equity,1.0
2023-12-01,Equity-only,Equal Weight,benchmark,equity,1.0
2021-01-04,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-02-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-03-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-04-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0000000000000002
2021-05-03,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-06-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-07-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0000000000000002
2021-08-02,Equity-only,Maximum Sharpe,optimisation,equity,1.0000000000000002
2021-09-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-10-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-11-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2021-12-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-01-03,Equity-only,Maximum Sharpe,optimisation,equity,1.0000000000000002
2022-02-01,Equity-only,Maximum Sharpe,optimisation,equity,0.9999999999999999
2022-03-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-04-01,Equity-only,Maximum Sharpe,optimisation,equity,0.9999999999999998
2022-05-02,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-06-01,Equity-only,Maximum Sharpe,optimisation,equity,0.9999999999999999
2022-07-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-08-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-09-01,Equity-only,Maximum Sharpe,optimisation,equity,1.0
2022-10-03,Equity-only,Maximum Sharpe,optimisation,equity,1.0
